Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave
1E+16,200,136.864853,136.864853,32.8605957,102.19677,-556.063354,-556.063354,-587.793091,-566.639954,3.68E-04,3.68E-04,8.88E-05,2.75E-04,854.243225,854.243225,205.099701,637.862061,4.23E-05,4.23E-05,1.14E-05,3.28E-05
2.5E+16,200,339.41095,339.41095,81.6659241,253.495926,-477.660706,-477.660706,-509.247559,-488.189667,9.18E-04,9.18E-04,2.21E-04,6.86E-04,847.374573,847.374573,203.887421,632.878845,7.74E-05,7.74E-05,2.12E-05,6.04E-05
5E+16,200,670.740906,670.740906,161.906479,501.129425,-418.796783,-418.796783,-450.168976,-429.254181,1.83E-03,1.83E-03,4.41E-04,1.36E-03,837.28717,837.28717,202.108154,625.560852,1.18E-04,1.18E-04,3.28E-05,9.23E-05
7.5E+16,200,994.984802,994.984802,240.892899,743.62085,-384.68808,-384.68808,-415.858215,-395.078125,2.73E-03,2.73E-03,6.60E-04,2.04E-03,828.027527,828.027527,200.471344,618.842102,1.47E-04,1.47E-04,4.17E-05,1.16E-04
1E+17,200,1312.23901,1312.23901,318.654999,981.044373,-360.575592,-360.575592,-391.589386,-370.913544,3.60E-03,3.60E-03,8.74E-04,2.69E-03,819.035217,819.035217,198.888809,612.319763,1.71E-04,1.71E-04,4.89E-05,1.35E-04
2.5E+17,200,3100.4624,3100.4624,764.30542,2321.74341,-286.165741,-286.165741,-316.115112,-296.148865,8.79E-03,8.79E-03,2.15E-03,6.58E-03,774.062561,774.062561,190.816772,579.647278,2.54E-04,2.54E-04,7.64E-05,2.04E-04
5E+17,200,5738.76758,5738.76758,1443.45874,4306.99805,-233.064911,-233.064911,-261.610046,-242.579956,1.69E-02,1.69E-02,4.20E-03,1.27E-02,716.371338,716.371338,180.18721,537.643311,3.12E-04,3.12E-04,9.88E-05,2.53E-04
7.5E+17,200,8086.52246,8086.52246,2065.54346,6079.5293,-204.125549,-204.125549,-231.521805,-213.257629,2.47E-02,2.47E-02,6.19E-03,1.85E-02,672.961426,672.961426,171.894791,505.939209,3.37E-04,3.37E-04,1.11E-04,2.76E-04
1E+18,200,10239.1133,10239.1133,2646.95801,7708.39453,-184.829361,-184.829361,-211.216034,-193.624924,3.22E-02,3.22E-02,8.13E-03,2.42E-02,639.075195,639.075195,165.210114,481.120148,3.50E-04,3.50E-04,1.18E-04,2.89E-04
2.5E+18,200,20989.1309,20989.1309,5701.11475,15893.125,-129.48317,-129.48317,-153.227585,-137.397964,7.34E-02,7.34E-02,1.91E-02,5.53E-02,524.015442,524.015442,142.334229,396.788361,3.52E-04,3.52E-04,1.34E-04,3.00E-04
5E+18,200,35196.1445,35196.1445,10107.4189,26833.2363,-96.503006,-96.503006,-116.536285,-103.180763,0.135685951,0.135685951,3.63E-02,0.102563679,439.354126,439.354126,126.171082,334.959778,3.28E-04,3.28E-04,1.37E-04,2.86E-04
7.5E+18,200,48304.5586,48304.5586,14371.3379,36993.4844,-81.8624573,-81.8624573,-98.468483,-87.3977966,0.192952171,0.192952171,5.32E-02,0.146378115,401.991119,401.991119,119.59845,307.860229,3.24E-04,3.24E-04,1.39E-04,2.83E-04
1E+19,200,61973.9297,61973.9297,18764.9082,47570.9219,-71.2495193,-71.2495193,-85.9164352,-76.1384888,0.250344455,0.250344455,7.07E-02,0.190460488,386.810852,386.810852,117.121346,296.914337,3.15E-04,3.15E-04,1.39E-04,2.76E-04
2.5E+19,200,136095.031,136095.031,43473.9141,105221.32,-44.2559662,-44.2559662,-53.2957191,-47.2692146,0.585696578,0.585696578,0.176428691,0.449273944,339.77533,339.77533,108.53714,262.695923,2.67E-04,2.67E-04,1.23E-04,2.35E-04
5E+19,200,241910.016,241910.016,80868.0312,188229.359,-29.2668762,-29.2668762,-35.7305374,-31.4214306,1.0863812,1.0863812,0.339024216,0.837262213,301.976715,301.976715,100.947708,234.967041,2.07E-04,2.07E-04,1.03E-04,1.86E-04
7.5E+19,200,338397.688,338397.688,110738.383,262511.25,-22.6620178,-22.6620178,-27.8385391,-24.3875256,1.55481827,1.55481827,0.484835505,1.19815731,281.61496,281.61496,92.1566162,218.462173,1.74E-04,1.74E-04,8.58E-05,1.56E-04
1E+20,200,425643.656,425643.656,140267.953,330518.406,-19.8700428,-19.8700428,-23.9688511,-21.2363129,1.97801471,1.97801471,0.623342216,1.52645719,265.665863,265.665863,87.5483704,206.293381,1.68E-04,1.68E-04,8.06E-05,1.49E-04
2.5E+20,200,899285.375,899285.375,386151,728240.562,-21.1715698,-21.1715698,-34.9886093,-25.7772503,4.23569775,4.23569775,1.67877126,3.38338876,224.515915,224.515915,96.406601,181.812805,4.03E-04,4.03E-04,4.73E-04,4.84E-04
5E+20,200,1645155.12,1645155.12,841083.938,1377131.38,-16.8050575,-16.8050575,-23.8906994,-19.1669388,7.72978115,7.72978115,3.745435,6.40166616,205.365005,205.365005,104.992661,171.907547,4.65E-04,4.65E-04,4.80E-04,5.06E-04
7.5E+20,200,2349440.5,2349440.5,1386640.62,2028507.12,-15.2590876,-15.2590876,-21.6144638,-17.3775463,10.9977522,10.9977522,5.92667818,9.30739403,195.520706,195.520706,115.3964,168.812607,5.47E-04,5.47E-04,6.48E-04,6.13E-04
1E+21,200,3004030.75,3004030.75,1768574.62,2592212,-12.9673738,-12.9673738,-14.5902138,-13.5083208,14.1652479,14.1652479,7.80298615,12.0444946,187.496857,187.496857,110.385742,161.793152,5.05E-04,5.05E-04,3.76E-04,4.73E-04
1E+16,220,109.365799,109.365799,26.782114,81.8379059,-573.692078,-573.692078,-602.922607,-583.435608,3.41E-04,3.41E-04,8.43E-05,2.56E-04,682.607605,682.607605,167.160797,510.791992,3.60E-05,3.60E-05,9.74E-06,2.79E-05
2.5E+16,220,271.677063,271.677063,66.6377716,203.330627,-495.210754,-495.210754,-524.326294,-504.915924,8.51E-04,8.51E-04,2.10E-04,6.37E-04,678.269958,678.269958,166.368103,507.635986,6.66E-05,6.66E-05,1.83E-05,5.18E-05
5E+16,220,537.967468,537.967468,132.313477,402.749481,-436.045929,-436.045929,-465.052826,-445.714874,1.69E-03,1.69E-03,4.17E-04,1.26E-03,671.545715,671.545715,165.167145,502.752838,1.02E-04,1.02E-04,2.86E-05,8.00E-05
7.5E+16,220,799.878418,799.878418,197.182327,598.979736,-401.816742,-401.816742,-430.664215,-411.432587,2.52E-03,2.52E-03,6.25E-04,1.89E-03,665.659729,665.659729,164.095367,498.471588,1.29E-04,1.29E-04,3.66E-05,1.01E-04
1E+17,220,1057.5929,1057.5929,261.284668,792.156799,-377.718109,-377.718109,-406.412994,-387.283081,3.35E-03,3.35E-03,8.31E-04,2.51E-03,660.097595,660.097595,163.08107,494.425415,1.51E-04,1.51E-04,4.32E-05,1.19E-04
2.5E+17,220,2528.45435,2528.45435,631.785706,1896.23145,-302.815643,-302.815643,-330.524536,-312.051941,8.24E-03,8.24E-03,2.05E-03,6.18E-03,631.254822,631.254822,157.731857,473.413818,2.32E-04,2.32E-04,6.90E-05,1.85E-04
5E+17,220,4750.18799,4750.18799,1206.03137,3568.80249,-248.955002,-248.955002,-275.4935,-257.801178,1.60E-02,1.60E-02,4.03E-03,1.20E-02,592.966858,592.966858,150.549133,445.494293,2.94E-04,2.94E-04,9.15E-05,2.37E-04
7.5E+17,220,6763.13721,6763.13721,1739.64941,5088.64111,-219.148071,-219.148071,-244.795929,-227.697342,2.34E-02,2.34E-02,5.94E-03,1.76E-02,562.829041,562.829041,144.773834,423.477295,3.25E-04,3.25E-04,1.04E-04,2.64E-04
1E+18,220,8628.83789,8628.83789,2243.62354,6500.43311,-199.090607,-199.090607,-223.989944,-207.390381,3.06E-02,3.06E-02,7.82E-03,2.30E-02,538.569763,538.569763,140.035965,405.725189,3.42E-04,3.42E-04,1.13E-04,2.80E-04
2.5E+18,220,18114.2773,18114.2773,4926.54395,13718.3662,-141.601898,-141.601898,-163.848679,-149.017502,7.05E-02,7.05E-02,1.85E-02,5.32E-02,452.241699,452.241699,122.996277,342.493256,3.63E-04,3.63E-04,1.32E-04,3.05E-04
5E+18,220,30997.1328,30997.1328,8857.63477,23617.2988,-106.616501,-106.616501,-125.373451,-112.868813,0.131345421,0.131345421,3.54E-02,9.93E-02,386.937805,386.937805,110.570023,294.815216,3.52E-04,3.52E-04,1.39E-04,3.01E-04
7.5E+18,220,42896.2891,42896.2891,12650.1172,32814.2305,-90.1495819,-90.1495819,-105.958061,-95.419075,0.187827811,0.187827811,5.20E-02,0.142550543,356.983459,356.983459,105.274429,273.080444,3.49E-04,3.49E-04,1.42E-04,2.99E-04
1E+19,220,54987.3867,54987.3867,16500.5566,42158.4414,-78.8006897,-78.8006897,-92.7118378,-83.4377365,0.244348273,0.244348273,6.90E-02,0.185887948,343.204285,343.204285,102.98838,263.132324,3.41E-04,3.41E-04,1.42E-04,2.94E-04
2.5E+19,220,121915.75,121915.75,38506.9727,94112.8203,-49.1913452,-49.1913452,-57.753006,-52.0452309,0.575661838,0.575661838,0.172516257,0.441279978,304.375305,304.375305,96.1366425,234.962418,2.95E-04,2.95E-04,1.28E-04,2.55E-04
5E+19,220,218428.766,218428.766,71892.4922,169583.344,-32.3671074,-32.3671074,-38.3576469,-34.3639526,1.07658339,1.07658339,0.334153861,0.829106867,272.665039,272.665039,89.7435226,211.691208,2.29E-04,2.29E-04,1.06E-04,2.00E-04
7.5E+19,220,305862.875,305862.875,99212.8359,236979.516,-25.4085655,-25.4085655,-29.9634323,-26.9268551,1.54319096,1.54319096,0.47943747,1.18860638,254.539459,254.539459,82.5650482,197.214661,1.97E-04,1.97E-04,8.91E-05,1.72E-04
