Sample: 'S1', Data: 'sigma'
---------------------------

n          | T          | Expt.      | n          | T          | Calc.      | Diff.     
----------------------------------------------------------------------------------------
  1.00e+18 |        205 |     184.14 |   3.05e+18 |        205 |     184.14 |  -4.25e-07
  1.00e+18 |        212 |     172.14 |   2.97e+18 |        212 |     172.14 |  -2.30e-07
  1.00e+18 |        218 |     161.75 |   2.92e+18 |        218 |     161.75 |  -4.00e-07
  1.00e+18 |        225 |     151.59 |   2.85e+18 |        225 |     151.59 |  -2.77e-07
  1.00e+18 |        231 |     142.99 |   2.80e+18 |        231 |     142.99 |  -2.35e-07
  1.00e+18 |        238 |     135.23 |   2.76e+18 |        238 |     135.23 |  -2.71e-07
  1.00e+18 |        245 |     128.38 |   2.72e+18 |        245 |     128.38 |  -1.92e-07
  1.00e+18 |        251 |     121.41 |   2.67e+18 |        251 |     121.41 |  -2.20e-07
  1.00e+18 |        258 |     115.71 |   2.65e+18 |        258 |     115.71 |  -4.45e-07
  1.00e+18 |        264 |     110.28 |   2.62e+18 |        264 |     110.28 |  -2.26e-07
  1.00e+18 |        271 |     105.51 |   2.59e+18 |        271 |     105.51 |  -2.46e-07
  1.00e+18 |        277 |     100.43 |   2.56e+18 |        277 |     100.43 |  -2.00e-07
  1.00e+18 |        284 |      96.71 |   2.55e+18 |        284 |      96.71 |  -1.37e-09
  1.00e+18 |        291 |      92.17 |   2.51e+18 |        291 |      92.17 |  -3.03e-08
  1.00e+18 |        297 |      88.98 |   2.50e+18 |        297 |      88.98 |  -1.22e-07
  1.00e+18 |        304 |      85.25 |   2.45e+18 |        304 |      85.25 |   5.56e-08
  1.00e+18 |        310 |      82.30 |   2.43e+18 |        310 |      82.30 |  -2.80e-08
  1.00e+18 |        317 |      79.56 |   2.41e+18 |        317 |      79.56 |  -2.11e-07
  1.00e+18 |        324 |      76.81 |   2.39e+18 |        324 |      76.81 |  -5.43e-08
  1.00e+18 |        330 |      74.06 |   2.35e+18 |        330 |      74.06 |   7.32e-08
  1.00e+18 |        337 |      71.68 |   2.33e+18 |        337 |      71.68 |  -4.20e-07
  1.00e+18 |        343 |      69.47 |   2.32e+18 |        343 |      69.47 |  -9.27e-08
  1.00e+18 |        350 |      67.25 |   2.29e+18 |        350 |      67.25 |  -8.50e-08
  1.00e+18 |        357 |      65.17 |   2.27e+18 |        357 |      65.17 |  -2.84e-08
  1.00e+18 |        363 |      63.17 |   2.25e+18 |        363 |      63.17 |  -4.41e-10
  1.00e+18 |        370 |      61.62 |   2.25e+18 |        370 |      61.62 |  -7.40e-08
  1.00e+18 |        376 |      60.10 |   2.24e+18 |        376 |      60.10 |  -9.85e-08
  1.00e+18 |        383 |      58.33 |   2.22e+18 |        383 |      58.33 |  -1.51e-07
  1.00e+18 |        390 |      56.82 |   2.21e+18 |        390 |      56.82 |  -5.01e-08
  1.00e+18 |        396 |      55.28 |   2.20e+18 |        396 |      55.28 |  -6.77e-08
  1.00e+18 |        400 |      77.01 |   3.16e+18 |        400 |      77.01 |  -8.44e-08

Sample: 'S2', Data: 'sigma'
---------------------------

n          | T          | Expt.      | n          | T          | Calc.      | Diff.     
----------------------------------------------------------------------------------------
  6.80e+18 |        203 |     753.30 |   1.59e+19 |        203 |     753.30 |  -7.57e-07
  6.80e+18 |        210 |     708.28 |   1.54e+19 |        210 |     708.28 |  -1.74e-06
  6.80e+18 |        216 |     666.81 |   1.50e+19 |        216 |     666.81 |  -1.38e-06
  6.80e+18 |        223 |     628.98 |   1.47e+19 |        223 |     628.98 |  -1.67e-06
  6.80e+18 |        230 |     594.45 |   1.43e+19 |        230 |     594.45 |  -4.31e-08
  6.80e+18 |        236 |     562.54 |   1.40e+19 |        236 |     562.54 |  -4.08e-06
  6.80e+18 |        243 |     534.41 |   1.37e+19 |        243 |     534.41 |  -9.06e-07
  6.80e+18 |        249 |     496.91 |   1.31e+19 |        249 |     496.91 |  -9.14e-07
  6.80e+18 |        256 |     482.71 |   1.32e+19 |        256 |     482.71 |  -1.87e-06
