Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
1.00E+16,200,81.2238464,203.028687,51.0741539,111.775566,-792.285339,-673.222107,-714.972656,-726.82666,2.87E-04,5.77E-04,1.72E-04,3.45E-04,506.959412,1267.20557,318.779816,697.648254,5.10E-05,9.20E-05,2.61E-05,5.90E-05,10706.9258,257893.328,6838.46631,91812.9062,301765.188,218213.797,50064.0312,190014.328,0,0,0,0,548.879028,1407.5094,350.426331,768.938232
2.00E+16,200,161.776367,397.287964,100.678795,219.914368,-732.962036,-615.070007,-656.531494,-668.187805,5.71E-04,1.14E-03,3.41E-04,6.84E-04,504.864349,1239.83838,314.193848,686.298828,8.69E-05,1.50E-04,4.34E-05,9.82E-05,10704.5488,257378.844,6835.89648,91639.7734,199311.078,152295.094,35326.7773,128977.656,0,0,0,0,549.021484,1405.73743,350.239014,768.332703
4.00E+16,200,321.755127,773.03241,197.568268,430.785278,-673.758118,-557.320374,-598.497986,-609.858826,1.13E-03,2.24E-03,6.73E-04,1.35E-03,502.059387,1206.22217,308.281036,672.1875,1.46E-04,2.40E-04,7.08E-05,1.60E-04,10699.8105,256353.609,6830.75928,91294.7188,129203.227,105776.805,24888.1621,86622.7266,0,0,0,0,549.306213,1402.20947,349.86557,767.127014
6.00E+16,200,480.66983,1137.65759,292.363373,636.896912,-639.187683,-523.75116,-564.773438,-575.904114,1.69E-03,3.33E-03,1.00E-03,2.01E-03,500.017578,1183.45007,304.13147,662.53302,1.96E-04,3.12E-04,9.33E-05,2.11E-04,10695.0938,255333.344,6825.62744,90951.3516,99325.5156,85229.7812,20256.6992,68270.6641,0,0,0,0,549.590759,1398.70288,349.493744,765.929138
8.00E+16,200,638.772705,1494.29028,385.623138,839.562012,-614.688354,-500.039612,-540.956848,-551.894958,2.25E-03,4.40E-03,1.32E-03,2.66E-03,498.36319,1165.82837,300.858795,655.016785,2.41E-04,3.74E-04,1.13E-04,2.56E-04,10690.3994,254318.078,6820.50098,90609.6562,82065.4531,73018.4844,17493.6172,57525.8555,0,0,0,0,549.875244,1395.21741,349.123535,764.73877
1.00E+17,200,796.206116,1844.56909,477.654083,1039.47644,-595.701538,-481.713837,-522.55127,-533.322205,2.81E-03,5.46E-03,1.64E-03,3.30E-03,496.952728,1151.28943,298.128204,648.7901,2.83E-04,4.28E-04,1.30E-04,2.96E-04,10685.7285,253307.75,6815.38086,90269.6172,70601.1797,64710.7578,15607.3096,50306.418,0,0,0,0,550.159546,1391.75305,348.754974,763.555847
2.00E+17,200,1574.38367,3471.24927,924.649475,1990.09412,-536.47998,-427.124115,-465.76358,-476.455902,5.51E-03,1.05E-02,3.21E-03,6.41E-03,491.326477,1083.29163,288.560394,621.059509,4.53E-04,6.33E-04,2.01E-04,4.52E-04,10648.3252,249286.578,6789.03613,88907.9766,44024.125,43928.1914,10956.9873,32969.7656,0,0,0,0,551.227356,1374.82764,346.928375,757.661133
4.00E+17,200,3108.14771,6561.94971,1778.03601,3816.04468,-477.68692,-371.69635,-409.683289,-419.688873,1.09E-02,2.03E-02,6.24E-03,1.25E-02,484.988312,1023.91174,277.440704,595.446899,7.09E-04,9.07E-04,2.98E-04,6.72E-04,10603.6113,239648.547,6738.43213,85663.5312,26873.5742,29903.291,7654.33105,21477.0664,0,0,0,0,554.053894,1342.30933,343.409332,746.590881
6.00E+17,200,4622.17139,9470.04785,2598.21558,5563.47803,-443.309204,-339.772675,-377.236542,-386.772827,1.63E-02,2.98E-02,9.18E-03,1.84E-02,480.822021,985.123108,270.279755,578.741638,9.08E-04,1.09E-03,3.70E-04,8.32E-04,10560.9277,230470.234,6688.40332,82573.1875,20094.2871,23861.1699,6206.21289,16720.5566,0,0,0,0,556.866516,1311.67957,340.041199,736.195801
8.00E+17,200,6123.79102,12246.1123,3395.78906,7255.23047,-418.906189,-317.437469,-354.398651,-363.58078,2.16E-02,3.90E-02,1.21E-02,2.42E-02,477.77124,955.427795,264.935608,566.044861,1.07E-03,1.23E-03,4.27E-04,9.59E-04,10520.1396,221728.812,6638.94189,79629.2969,16373.0293,20342.7988,5352.38184,14022.7373,0,0,0,0,559.663147,1282.81091,336.816254,726.430115
