Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
1.00E+16,200,17.1536522,315.405151,287.461761,206.673523,685.822571,653.932556,641.393311,660.382812,6.07E-05,9.20E-04,7.20E-04,5.67E-04,107.064674,1968.604,1794.19531,1289.95471,8.07E-06,1.35E-04,1.18E-04,9.01E-05,23845.2207,37178.6758,91006.4453,50676.7812,7540.03906,185979.656,194728.094,129415.93,0,0,0,0,118.728401,2219.02612,1987.51562,1441.75684
2.00E+16,200,33.7649155,619.085388,562.597595,405.149292,626.886169,595.307556,582.901611,601.698425,1.20E-04,1.82E-03,1.42E-03,1.12E-03,105.372025,1932.01355,1755.729,1264.37158,1.33E-05,2.19E-04,1.91E-04,1.47E-04,23758.6387,37155.6602,90794.9609,50569.75,5456.81201,133112.719,143662.672,94077.3984,0,0,0,0,118.652824,2216.76831,1985.04224,1440.15442
4.00E+16,200,66.134552,1208.31494,1093.99036,789.47998,568.220581,537.036133,524.798584,543.351746,2.38E-04,3.60E-03,2.81E-03,2.21E-03,103.194839,1885.427,1707.03748,1231.88635,2.14E-05,3.48E-04,3.01E-04,2.33E-04,23586.8379,37109.6758,90374.8281,50357.1133,3896.40039,95733.2031,99708.4453,66446.0156,0,0,0,0,118.502472,2212.26636,1980.1145,1436.96106
6.00E+16,200,97.7367172,1781.40881,1608.62305,1162.58948,534.061279,503.14502,491.025574,509.410645,3.54E-04,5.35E-03,4.16E-03,3.29E-03,101.670769,1853.11316,1673.37244,1209.38538,2.79E-05,4.51E-04,3.88E-04,3.02E-04,23416.832,37063.7617,89958.4531,50146.3477,3221.97559,79101.8125,81709.5156,54677.7695,0,0,0,0,118.35321,2207.7832,1975.21252,1433.78308
8.00E+16,200,128.777771,2342.80469,2111.10181,1527.56152,509.910217,479.198517,467.173218,485.427338,4.68E-04,7.08E-03,5.50E-03,4.35E-03,100.470947,1827.82947,1647.05762,1191.78601,3.35E-05,5.38E-04,4.61E-04,3.60E-04,23248.5957,37017.9219,89545.7891,49937.4375,2821.0293,69177.5,71042.8906,47680.4727,0,0,0,0,118.205032,2203.3186,1970.33643,1430.62012
1.00E+17,200,159.370255,2894.89673,2603.90112,1886.05603,491.233185,460.686432,448.740723,466.88681,5.82E-04,8.79E-03,6.83E-03,5.40E-03,99.4710846,1806.85229,1625.22717,1177.18347,3.85E-05,6.14E-04,5.24E-04,4.11E-04,23082.1055,36972.1562,89136.7812,49730.3477,2547.73682,62394.8594,63770.8086,42904.4688,0,0,0,0,118.057915,2198.8728,1965.48596,1427.47217
2.00E+17,200,307.464447,5555.57324,4964.1875,3609.07495,433.443848,403.498169,391.881134,409.607697,1.13E-03,1.72E-02,1.33E-02,1.05E-02,95.9521179,1733.75806,1549.20117,1126.30383,5.78E-05,9.05E-04,7.62E-04,6.06E-04,22274.5098,36739.0117,87143.1016,48718.875,1883.75867,55387.9258,45743.5742,34338.418,0,0,0,0,117.317963,2176.76074,1941.52002,1411.86621
4.00E+17,200,588.673218,10565.3867,9358.51367,6837.5249,376.619019,347.163086,335.900085,353.227386,2.21E-03,3.35E-02,2.58E-02,2.05E-02,91.8552322,1648.59888,1460.28113,1066.91174,8.35E-05,1.27E-03,1.06E-03,8.53E-04,20777.8262,36289.1797,83407.4219,46824.8125,1402.60425,38627.4922,34230.2734,24753.459,0,0,0,0,115.949478,2134.23462,1895.62207,1381.93542
6.00E+17,200,857.169373,15305.5107,13472.7852,9878.48828,343.93985,314.730591,303.688782,320.786407,3.25E-03,4.94E-02,3.78E-02,3.02E-02,89.1671753,1592.15808,1401.50854,1027.61121,1.01E-04,1.52E-03,1.24E-03,1.02E-03,19421.0781,35847.0547,79968.9531,45079.0312,1188.08643,31526.9258,27569.6016,20094.8711,0,0,0,0,114.667343,2093.50366,1852.0752,1353.41541
8.00E+17,200,1116.4491,19845.625,17383.6953,12781.9229,320.985626,291.99762,281.125458,298.036255,4.26E-03,6.49E-02,4.96E-02,3.96E-02,87.1040955,1548.33325,1356.25635,997.231262,1.15E-04,1.69E-03,1.37E-03,1.14E-03,18186.7051,35410.0938,76792.1328,43462.9766,1061.97009,27508.5449,24030.4629,17533.6582,0,0,0,0,113.445839,2054.38086,1810.6698,1326.16553
