Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
1.00E+16,200,101.562325,289.460663,120.449638,170.490875,-812.154907,-665.716309,-668.125793,-715.332336,5.00E-04,9.65E-04,4.63E-04,6.43E-04,633.902222,1806.67151,751.787598,1064.12048,6.70E-05,1.28E-04,5.38E-05,8.72E-05,21381.2051,84748.1562,27737.8613,44622.4062,533449.188,375349.125,114310.242,341036.188,0,0,0,0,686.28009,1888.25781,803.640198,1126.05933
2.00E+16,200,202.619659,576.649597,238.451813,339.240356,-752.814514,-606.206238,-609.371399,-656.130676,9.96E-04,1.93E-03,9.19E-04,1.28E-03,632.326294,1799.58191,744.149597,1058.68591,1.15E-04,2.12E-04,8.85E-05,1.46E-04,21352.7988,84648.8828,27696.7051,44566.1289,349340.656,264120.406,81199.6562,231553.578,0,0,0,0,686.581177,1887.51733,802.690308,1125.59631
4.00E+16,200,403.945892,1146.69385,470.225861,673.621887,-693.61853,-546.816223,-551.014587,-597.149841,1.98E-03,3.84E-03,1.82E-03,2.54E-03,630.308044,1789.27515,733.729797,1051.10437,1.94E-04,3.43E-04,1.43E-04,2.40E-04,21296.4219,84450.8906,27614.7793,44454.0312,224777.688,185570.297,57760.7812,156036.266,0,0,0,0,687.183838,1886.03589,800.805359,1124.67505
6.00E+16,200,604.586243,1712.21411,697.907104,1004.90253,-659.075745,-512.160522,-517.127258,-562.787842,2.96E-03,5.74E-03,2.70E-03,3.80E-03,628.921814,1781.13342,725.998962,1045.35144,2.63E-04,4.49E-04,1.87E-04,3.18E-04,21240.623,84253.6406,27533.373,44342.5469,172238.516,150750.516,47353.8203,123447.617,0,0,0,0,687.78717,1884.55444,798.939941,1123.7605
8.00E+16,200,804.048645,2273.84546,922.32312,1333.40576,-634.31897,-487.60022,-493.186279,-538.368469,3.91E-03,7.63E-03,3.57E-03,5.04E-03,627.309692,1774.02844,719.58606,1040.30811,3.24E-04,5.41E-04,2.24E-04,3.86E-04,21143.8203,84042.9375,27440.6289,44209.1289,143008.609,129979.648,41325.4883,104771.25,0,0,0,0,688.69812,1883.22021,797.405701,1123.10803
1.00E+17,200,1003.68872,2832.19019,1144.10327,1659.99414,-615.371033,-468.608246,-474.742218,-519.573792,4.87E-03,9.51E-03,4.44E-03,6.27E-03,626.453247,1767.71411,714.09314,1036.08691,3.80E-04,6.22E-04,2.58E-04,4.48E-04,21089.0781,83847.1406,27360.2207,44098.8125,122946.547,115789.914,37054.7227,91930.3984,0,0,0,0,689.30365,1881.73889,795.579468,1122.2074
2.00E+17,200,1998.85242,5581.37061,2221.91797,3267.38013,-556.690857,-409.917633,-418.121185,-461.576569,9.62E-03,1.89E-02,8.68E-03,1.24E-02,623.792847,1741.80884,693.406128,1019.66925,6.19E-04,9.38E-04,3.88E-04,6.96E-04,20823.6133,82879.0547,26965.6484,43556.1055,76205.4688,80537.1875,26414.8066,61052.4883,0,0,0,0,692.341248,1874.33167,786.726868,1117.79993
4.00E+17,200,3985.30713,10908.5371,4268.90332,6387.58203,-498.30777,-351.958771,-362.899658,-404.388763,1.89E-02,3.72E-02,1.68E-02,2.43E-02,621.858215,1702.14319,666.109924,996.703796,9.90E-04,1.35E-03,5.62E-04,1.04E-03,20331.2988,80995.6875,26211.9453,42512.9766,46892.9492,55593.2656,18833.7617,40439.9961,0,0,0,0,698.456116,1859.50586,770.317139,1109.42639
6.00E+17,200,5973.71875,16051.6406,6214.27295,9413.21094,-464.083527,-318.700134,-331.460938,-371.414886,2.80E-02,5.53E-02,2.45E-02,3.59E-02,621.417053,1669.77441,646.440735,979.210693,1.29E-03,1.63E-03,6.83E-04,1.30E-03,19864.5391,79177.1641,25499.1953,41513.6328,35853.9609,44703.0625,15463.0029,32006.6738,0,0,0,0,704.67688,1845.13562,755.471008,1101.76111
8.00E+17,200,7975.44092,21030.4961,8084.07031,12363.3359,-440.00058,-295.419952,-309.71991,-348.380127,3.70E-02,7.30E-02,3.20E-02,4.74E-02,622.234802,1640.77539,630.709961,964.573425,1.54E-03,1.84E-03,7.75E-04,1.50E-03,19459.3848,77423.8828,24828.791,40570.6836,29426.6484,38143.3008,13439.4277,27003.127,0,0,0,0,710.842346,1830.26428,741.957764,1094.35486
1.00E+18,200,9991.2041,25862.7969,9892.51172,15248.8369,-421.334167,-277.641846,-293.207642,-330.727875,4.60E-02,9.05E-02,3.93E-02,5.86E-02,623.601868,1614.22876,617.442017,951.757507,1.77E-03,1.99E-03,8.50E-04,1.67E-03,19090.6699,75730.5625,24194.6914,39671.9727,25318.1973,33690.3008,12055.8984,23688.1328,0,0,0,0,717.007935,1815.36609,729.629272,1087.33447
2.00E+18,200,20315.0117,48185.2383,18283.0801,28927.7754,-363.069305,-225.024048,-244.30867,-277.467346,9.01E-02,0.175425723,7.32E-02,0.112892866,633.981689,1503.74304,570.570068,902.764893,2.68E-03,2.44E-03,1.09E-03,2.23E-03,17654.1582,68073.2891,21469.8691,35732.4375,16367.5898,22975.8184,8676.52441,16006.6436,0,0,0,0,747.475281,1742.33801,681.737,1057.18347
4.00E+18,200,42292.5898,85565.5234,33047.8164,53635.3086,-304.181,-177.818695,-199.383865,-227.127853,0.179044157,0.327750087,0.133351445,0.213381886,659.92395,1335.14502,515.670593,836.913147,3.91E-03,2.71E-03,1.31E-03,2.77E-03,16036.5703,56007.4102,17571.9707,29871.9844,11218.4414,15544.7871,6271.79932,11011.6758,0,0,0,0,804.714417,1600.30554,622.749146,1009.25635
6.00E+18,200,65801.2734,116143.031,46115.2773,76019.8672,-269.137817,-154.188812,-175.170624,-199.499084,0.271533936,0.459871322,0.187184528,0.3061966,684.498718,1208.17957,479.714844,790.797668,4.77E-03,2.76E-03,1.42E-03,3.03E-03,15181.8369,47130.0117,14913.5322,25741.7949,9311.64355,12301.3281,5180.83496,8931.26953,0,0,0,0,855.356995,1475.11963,584.915161,971.79718
8.00E+18,200,90440,142238.344,57966.6172,96881.6562,-243.943741,-139.62352,-159.089355,-180.885544,0.367053479,0.575619996,0.236525267,0.393066257,705.602539,1109.72729,452.248932,755.859619,5.38E-03,2.77E-03,1.47E-03,3.17E-03,14641.2793,40460.0234,12985.0156,22695.4395,8309.92285,10411.0684,4527.55176,7749.51416,0,0,0,0,899.498596,1370.69482,556.469543,942.220947
1.00E+19,200,115901.648,165317.516,68880.2031,116699.789,-224.474915,-129.523849,-147.349136,-167.115967,0.4669891,0.677927375,0.282611728,0.475842744,723.401184,1031.83081,429.916412,728.382812,5.84E-03,2.77E-03,1.50E-03,3.26E-03,13970.5342,35329.9336,11526.2354,20275.5684,7663.19629,9122.95898,4068.85498,6951.67041,0,0,0,0,937.741821,1285.09558,533.333313,918.723572
2.00E+19,200,247836.109,258999.188,115191.562,207342.297,-165.934967,-102.501411,-114.293755,-127.576714,1.00121558,1.07324398,0.481421173,0.851960242,773.435669,808.272888,359.484619,647.064392,6.82E-03,2.72E-03,1.50E-03,3.37E-03,12801.7266,21494.4883,7272.82373,13856.3467,6144.94678,5942.86621,2871.12109,4986.31104,0,0,0,0,1064.25244,1038.21753,461.689606,854.71991
4.00E+19,200,512628.719,408737.375,189571.453,370312.531,-117.038101,-75.1263275,-84.1691666,-92.1111984,2.15358949,1.68965733,0.826813281,1.55668676,799.894226,637.784546,295.802979,577.827209,7.02E-03,2.31E-03,1.34E-03,3.14E-03,10760.2168,12262.7432,4634.18311,9219.04785,5110.80664,3727.46948,1908.38062,3582.21899,0,0,0,0,1174.38953,872.632019,405.944061,817.655212
6.00E+19,200,784709.188,528812.625,250600.766,521374.156,-92.0807114,-58.2985268,-70.3622437,-73.5804977,3.37148881,2.27872944,1.16950488,2.27324104,816.294922,550.098145,260.687836,542.360291,6.65E-03,1.80E-03,1.24E-03,2.82E-03,9238.34082,8299.79883,3383.86108,6974.00049,4618.4917,2851.41602,1506.03552,2991.9812,0,0,0,0,1255.36414,794.436829,380.494812,810.098633
8.00E+19,200,1054508.12,622749.938,307964.531,661740.812,-75.8069763,-49.6912689,-65.1014938,-63.5332451,4.69005966,2.80133104,1.49624693,2.99587917,822.71521,485.862427,240.270432,516.282654,6.06E-03,1.54E-03,1.31E-03,2.67E-03,8027.76123,6314.29639,2563.4541,5635.17041,4329.00342,2862.47266,1323.13818,2838.20483,0,0,0,0,1324.53137,728.391052,372.176666,808.366394
1.00E+20,200,1301060.5,704394.5,366907.781,790787.562,-66.2727661,-45.3394661,-62.2551956,-57.9558105,5.98310709,3.23234487,1.78554034,3.66699767,812.058105,439.648468,229.005814,493.570801,5.71E-03,1.45E-03,1.42E-03,2.66E-03,6983.51123,5141.87695,2072.00586,4732.46484,4189.57275,2182.51709,1230.97388,2534.35449,0,0,0,0,1360.76233,678.226257,375.308136,804.765564
1.00E+16,220,99.1506348,241.812317,99.6154633,146.859482,-824.931213,-683.76062,-689.987244,-732.893066,5.02E-04,8.92E-04,4.26E-04,6.07E-04,618.849609,1509.2738,621.750793,916.624756,6.75E-05,1.13E-04,4.74E-05,7.89E-05,17762.4492,66834.0938,21784.6445,35460.3945,626434.125,357505.062,112661.578,365533.594,0,0,0,0,674.875916,1582.03638,665.243103,974.051819
2.00E+16,220,197.725677,482.020996,197.543823,292.430176,-765.183228,-624.340515,-631.003296,-673.508972,9.96E-04,1.78E-03,8.44E-04,1.21E-03,617.053345,1504.26929,616.485779,912.602844,1.16E-04,1.88E-04,7.87E-05,1.33E-04,17716.625,66760.9609,21753.2422,35410.2773,417711.375,252286.125,80007.8359,250001.766,0,0,0,0,675.277588,1582.06165,664.683533,974.007629
4.00E+16,220,394.413483,958.986328,390.53952,581.31311,-705.83844,-564.935608,-572.442383,-614.405457,1.98E-03,3.55E-03,1.67E-03,2.40E-03,615.433777,1496.38049,609.388977,907.067688,1.96E-04,3.06E-04,1.28E-04,2.19E-04,17682.1816,66621.7734,21698.8438,35334.2656,269386.031,177108.547,56860.9688,167785.172,0,0,0,0,675.773926,1580.86658,663.527344,973.389343
6.00E+16,220,590.536133,1432.47534,580.729797,867.913757,-671.183472,-530.26593,-538.395874,-579.948425,2.96E-03,5.32E-03,2.49E-03,3.59E-03,614.306091,1490.13452,604.10498,902.848572,2.66E-04,4.03E-04,1.68E-04,2.92E-04,17648.0371,66483.0547,21644.7344,35258.6094,206649.797,143842.625,46592.4492,132361.625,0,0,0,0,676.270203,1579.67188,662.381042,972.774414
8.00E+16,220,786.260132,1903.04846,768.720154,1152.67627,-646.626526,-505.71756,-514.358032,-555.567383,3.94E-03,7.07E-03,3.30E-03,4.77E-03,613.431213,1484.73682,599.746765,899.304932,3.29E-04,4.87E-04,2.03E-04,3.56E-04,17614.1875,66344.8125,21590.9141,35183.3047,170574.094,124011.625,40461.457,111682.398,0,0,0,0,676.766541,1578.47766,661.244446,972.162842
1.00E+17,220,981.680786,2371.02979,954.854858,1435.8551,-627.598145,-486.712555,-495.792358,-536.700989,4.91E-03,8.82E-03,4.10E-03,5.95E-03,612.71698,1479.88037,595.973511,896.190247,3.87E-04,5.62E-04,2.35E-04,4.14E-04,17580.6289,66207.0312,21537.3789,35108.3438,146687.766,110475.062,36271.043,97811.2891,0,0,0,0,677.262817,1577.28406,660.117493,971.554749
