Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
1.00E+16,200,18.4705868,218.327057,116.971558,117.923065,802.51947,742.946777,739.389893,761.618713,7.60E-05,7.14E-04,4.13E-04,4.01E-04,115.284325,1362.69019,730.078979,736.017822,1.19E-05,1.21E-04,6.39E-05,6.84E-05,5715.3833,37155.6562,47043.2969,29971.4453,25777.1465,293664.219,130607.656,150016.344,0,0,0,0,127.655502,1484.82239,789.042053,800.506653
2.00E+16,200,36.5437927,431.939301,230.880753,233.121277,743.658752,684.019287,680.800964,702.826355,1.51E-04,1.42E-03,8.18E-04,7.95E-04,114.044205,1347.97656,720.522217,727.514343,2.02E-05,2.02E-04,1.07E-04,1.15E-04,5710.4585,37139.8984,46998.0391,29949.4629,17852.5391,206075.781,92265.7656,105398.023,0,0,0,0,127.644073,1484.38538,788.671326,800.233582
4.00E+16,200,72.0697327,851.69397,453.955292,459.239655,685.069031,625.343262,622.554443,644.322266,2.99E-04,2.81E-03,1.62E-03,1.57E-03,112.455963,1328.96387,708.341492,716.587097,3.38E-05,3.33E-04,1.76E-04,1.91E-04,5700.63574,37108.4102,46907.7656,29905.6035,12738.1211,172368.281,67626.4141,84244.2734,0,0,0,0,127.621223,1483.51172,787.931702,799.688232
6.00E+16,200,107.041222,1264.69348,672.799866,681.511536,650.940796,591.156189,588.664612,610.253845,4.45E-04,4.18E-03,2.40E-03,2.34E-03,111.349792,1315.59924,699.881104,708.943359,4.54E-05,4.42E-04,2.33E-04,2.54E-04,5690.85059,37076.9648,46817.8203,29861.8809,10289.6641,127285.586,54992.7344,64189.3281,0,0,0,0,127.598427,1482.63867,787.19458,799.14386
8.00E+16,200,141.611008,1672.73596,888.57373,900.973572,626.796631,566.967712,564.708435,586.157654,5.91E-04,5.54E-03,3.18E-03,3.10E-03,110.483299,1305.04956,693.255127,702.929382,5.56E-05,5.38E-04,2.83E-04,3.10E-04,5681.10205,37045.5664,46728.2109,29818.291,8892.47363,109223.109,47975.2148,55363.5977,0,0,0,0,127.575691,1481.76624,786.460022,798.600647
1.00E+17,200,175.862778,2076.80688,1101.90454,1118.19141,608.110474,548.246826,546.180115,567.512451,7.35E-04,6.89E-03,3.95E-03,3.86E-03,109.764915,1296.24084,687.7547,697.920166,6.50E-05,6.24E-04,3.29E-04,3.60E-04,5671.39111,37014.2148,46638.9297,29774.8438,7946.48682,97759.4141,43233.5938,49646.5,0,0,0,0,127.553009,1480.89441,785.728027,798.058411
2.00E+17,200,343.621979,4054.18384,2142.60522,2180.13696,550.045898,490.283447,488.923706,509.751007,1.44E-03,1.35E-02,7.73E-03,7.57E-03,107.235977,1265.21118,668.65448,680.367188,1.04E-04,9.75E-04,5.12E-04,5.67E-04,5621.8584,36845.418,46191.793,29553.0234,8737.69531,71199.8984,35023.9336,38320.5117,0,0,0,0,127.391991,1476.57141,782.205933,795.389832
4.00E+17,200,669.422791,7875.78711,4143.16309,4229.45752,492.598572,432.822449,432.233978,452.551666,2.82E-03,2.65E-02,1.51E-02,1.48E-02,104.455208,1228.9198,646.489746,659.954895,1.62E-04,1.48E-03,7.74E-04,8.66E-04,5528.50439,36536.6367,45332.5,29132.5469,4332.44678,57626.4531,23829.1387,28596.0137,0,0,0,0,127.171036,1467.93286,775.149475,790.084473
6.00E+17,200,987.564331,11585.7002,6075.66455,6216.31006,459.169189,399.44635,399.381348,419.332275,4.17E-03,3.93E-02,2.23E-02,2.19E-02,102.731522,1205.20422,632.021912,646.652588,2.08E-04,1.85E-03,9.69E-04,1.09E-03,5438.54834,36232.4023,44503.4258,28724.791,3427.79834,2131945.5,19639.1133,718337.438,0,0,0,0,126.955765,1459.3761,768.332153,784.888
8.00E+17,200,1300.82788,15211.9619,7959.67627,8157.48828,435.542603,375.91745,376.249237,395.903107,5.52E-03,5.18E-02,2.93E-02,2.89E-02,101.489105,1186.81995,621.004883,636.437988,2.47E-04,2.15E-03,1.13E-03,1.28E-03,5351.81104,35932.6367,43702.9336,28329.127,7758.7876,1599113.12,21247.3164,542706.438,0,0,0,0,126.745934,1450.90662,761.743103,779.798584
