T [K],k_xx [W/m.K],k_yy [W/m.K],k_zz [W/m.K],k_yz [W/m.K],k_xz [W/m.K],k_xy [W/m.K],k_iso [W/m.K]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,117.48857785481388,83.7707237670684,140.3993667923804,-2.350031712448304e-16,0.0,0.0,113.88622280475424
20.0,33.75948346922282,19.89780835835452,47.580476416019096,-7.621637882000827e-17,0.0,0.0,33.74592274786548
30.0,18.242467852938155,10.463095591174698,26.653655948810172,-3.772914179545286e-17,0.0,0.0,18.453073130974342
40.0,12.37249857038476,6.998747443140941,17.973117330171426,-2.407419324097972e-17,0.0,0.0,12.448121114565708
50.0,9.474497154235749,5.325169602923095,13.574932457978738,-1.748189186205814e-17,0.0,0.0,9.458199738379195
60.0,7.775291516303831,4.364764544291272,10.989346057890724,-1.37004168406505e-17,0.0,0.0,7.709800706161943
70.0,6.647526433464594,3.737308590443895,9.288280510311756,-1.1274881662011012e-17,0.0,0.0,6.557705178073415
80.0,5.832061076608445,3.2873580311496,8.074833069139999,-9.592896428824298e-18,0.0,0.0,5.731417392299348
90.0,5.207216290638913,2.9434474035473324,7.158320419518239,-8.358482794571186e-18,0.0,0.0,5.102994704568162
100.0,4.709004501119713,2.6689572458601623,6.437235975146915,-7.413221676417677e-18,0.0,0.0,4.605065907375597
110.0,4.300366374834718,2.443188428555295,5.852642621705185,-6.665330322677579e-18,0.0,0.0,4.198732475031733
120.0,3.9580846979626054,2.253415429794447,5.367796009521693,-6.0581654579126465e-18,0.0,0.0,3.859765379092915
130.0,3.666685241573535,2.0912612553518595,4.9584381390685195,-5.55493177005178e-18,0.0,0.0,3.572128211997972
140.0,3.415345724343839,1.95090652905357,4.607803893955199,-5.130697992819033e-18,0.0,0.0,3.3246853824508698
150.0,3.19620787826032,1.8281360932912176,4.303872531393718,-4.767968033325781e-18,0.0,0.0,3.1094055009817523
160.0,3.0033941126871113,1.719795902459397,4.037763905717512,-4.4540952068053045e-18,0.0,0.0,2.9203179736213403
170.0,2.8324023446351227,1.623464690245809,3.802754809569556,-4.179705203056842e-18,0.0,0.0,2.7528739481501625
180.0,2.6797160668115603,1.5372451242247045,3.5936495576443597,-3.937697454438398e-18,0.0,0.0,2.6035369162268744
190.0,2.5425433204803136,1.4596251677139833,3.4063625003366274,-3.722591828603043e-18,0.0,0.0,2.469510329510308
200.0,2.4186363127915094,1.3893827186284093,3.2376325039750533,-3.530088897315113e-18,0.0,0.0,2.348550511798324
210.0,2.306163396999984,1.3255180516821365,3.0848225000577445,-3.356766460800532e-18,0.0,0.0,2.238834649579955
220.0,2.203616144431885,1.2672047651194107,2.945775541975478,-3.1998654184756864e-18,0.0,0.0,2.138865483842258
230.0,2.109740576727978,1.2137534184594043,2.818709389106582,-3.0571356746540048e-18,0.0,0.0,2.047401128097988
240.0,2.023485421742365,1.1645840991374221,2.7021379650871142,-2.9267232743796964e-18,0.0,0.0,1.9634024953223002
250.0,1.9439626071296379,1.1192054095367066,2.594811941411467,-2.807086415900428e-18,0.0,0.0,1.8859933193592706
260.0,1.8704167061970531,1.0771981579475756,2.4956731755125166,-2.6969320491316982e-18,0.0,0.0,1.8144293465523817
270.0,1.8022010341315902,1.0382025523302894,2.403819345039392,-2.595167387370035e-18,0.0,0.0,1.7480743105004237
280.0,1.7387587525489818,1.001908039829874,2.318476193164604,-2.5008623818395076e-18,0.0,0.0,1.6863809951811533
290.0,1.679607792183978,0.968045169980863,2.238975528333085,-2.4132203634950282e-18,0.0,0.0,1.628876163499309
300.0,1.6243287186954452,0.9363790232623264,2.164737625534031,-2.3315548444076273e-18,0.0,0.0,1.575148455830601
310.0,1.5725548899740054,0.9067038627586492,2.0952570300865276,-2.2552710172564264e-18,0.0,0.0,1.5248385942730607
320.0,1.5239644140540711,0.8788387503005558,2.0300910173186146,-2.1838508757003774e-18,0.0,0.0,1.4776313938910803
330.0,1.47827353388188,0.8526239295345012,1.9688501439540942,-2.1168411524136636e-18,0.0,0.0,1.4332492024568253
340.0,1.435231151617356,0.8279178235377783,1.9111904605305112,-2.053843469440636e-18,0.0,0.0,1.3914464785618819
350.0,1.3946142696115955,0.8045945283837714,1.8568070529922354,-1.9945062400941974e-18,0.0,0.0,1.3520052836625343
360.0,1.3562241737715794,0.7825417095964866,1.8054286555179306,-1.938517968399074e-18,0.0,0.0,1.314731512961999
370.0,1.319883221960059,0.7616588279142081,1.7568131324679261,-1.8856016717516212e-18,0.0,0.0,1.2794517274473978
380.0,1.2854321284111059,0.7418556357735797,1.710743669882873,-1.83551021247838e-18,0.0,0.0,1.2460104780225196
