T [K],(k/t)_xx [W/m.K.ps],(k/t)_yy [W/m.K.ps],(k/t)_zz [W/m.K.ps],(k/t)_yz [W/m.K.ps],(k/t)_xz [W/m.K.ps],(k/t)_xy [W/m.K.ps],(k/t)_iso [W/m.K.ps],(t^CRTA)_xx [ps],(t^CRTA)_yy [ps],(t^CRTA)_zz [ps],(t^CRTA)_yz [ps],(t^CRTA)_xz [ps],(t^CRTA)_xy [ps],(t^CRTA)_iso [ps],k_xx [W/m.K],k_yy [W/m.K],k_zz [W/m.K],k_yz [W/m.K],k_xz [W/m.K],k_xy [W/m.K],k_iso [W/m.K]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.013553172256664274,0.011901001128030204,0.01762021114026003,-2.592927055513076e-20,-3.639747476419551e-19,2.610308416513141e-37,0.014358128174984839,12937.968005845436,12874.531815053335,13697.305223050485,14334.014711181682,13139.899165680694,5905.462228374974,13231.059318811771,175.35050903443437,153.2198176538105,241.34941008273603,-3.7167054558745435e-16,-4.782591482869367e-15,1.5415077758127643e-33,189.973245590327
20.0,0.05391295328033469,0.04364004270603895,0.08878023870201812,-8.421731319261933e-20,-1.957547077618305e-18,3.764467168872194e-37,0.06211107822946393,842.6863021496735,802.4762488542733,856.9226589965617,730.6359874821077,833.9217888431925,645.9400893891819,840.0519825945474,45.43170723777335,35.02009777058243,76.07779821488283,-6.153219978757937e-17,-1.632441160712221e-15,2.4316202595639458e-34,52.1765344077462
30.0,0.1005847314354101,0.0762780449903972,0.17332994640674446,-1.6262815126011488e-19,-3.820641454283074e-18,5.077837677221707e-37,0.11673090761085059,239.76654563658323,253.90876286800173,267.3867222025894,229.96970965813256,270.4943120308112,267.16300571320977,256.51773440693853,24.116853600051723,19.36766403750153,46.34612622924988,-3.739954872752749e-17,-1.0334617816926982e-15,1.3566103763703349e-34,29.943547955601048
40.0,0.15674802596125595,0.10651127394898861,0.2560305599456116,-2.2185559573804047e-19,-5.438484407959696e-18,5.416000132792513e-37,0.17309661995195205,105.76319526444799,125.59271595852748,129.41970908839798,124.9360056031134,137.15448172846058,174.70621968463573,121.49402042228712,16.578172077057076,13.377040175456234,33.13540058590069,-2.771775195220989e-17,-7.459125103620259e-16,9.462089090116651e-35,21.030204279471334
50.0,0.22288987681004382,0.13745715748727724,0.3377132962862411,-2.5435587444063088e-19,-6.8473620201249945e-18,4.416092264034285e-37,0.23268677686118738,56.484116818164786,72.9878653743985,74.3837076997263,85.05148196078139,82.50406440952058,156.40886855067262,68.3935289978571,12.589737839324874,10.032704505428885,25.12036711726682,-2.1633344066606097e-17,-5.649351971436975e-16,6.907159944329808e-35,15.914269820673525
60.0,0.29272932048937733,0.16976528193997797,0.4161717502258295,-2.6663876844859305e-19,-8.103555281577527e-18,2.5153408843951017e-37,0.2928887842183949,34.5662381059473,46.72589466050295,47.80337758957713,65.39075946376487,54.947993285572146,205.98820211167683,43.18522187296888,10.118551392627975,7.9324346809379955,19.894415318160508,-1.7435711571336445e-17,-4.452741012013847e-16,5.181305464745422e-35,12.648467130575492
70.0,0.3599162537654939,0.2019673927952826,0.48817974493158833,-2.666466573457997e-19,-9.21898823228852e-18,2.446679036892447e-38,0.35002113049745487,23.504989063946002,32.33250409639064,33.4683477973583,54.1521645031607,39.43340418126721,1627.2424425149661,29.834873692774593,8.459827608694349,6.530111554890814,16.338569490996058,-1.443949365280767e-17,-3.635360891061793e-16,3.98133997204303e-35,10.44283621819374
80.0,0.42080570305712095,0.23244281557664973,0.5518968865412253,-2.602009360813754e-19,-1.0194616213953027e-17,-2.038776613281872e-37,0.401715135058332,17.300466638282536,23.86008242836074,25.038128383130537,47.03653584049658,29.983856658506216,-153.63420233835637,22.10912040284307,7.2801350269387495,5.546104739539116,13.818465099469226,-1.2238950655722376e-17,-3.056739112476509e-16,3.13225818727656e-35,8.88156828864903
90.0,0.47410241723245194,0.26018994145263635,0.6069711563267408,-2.508869655263792e-19,-1.1036249424783294e-17,-4.15265872040463e-37,0.44708783833727633,13.500825384406669,18.542417988740162,19.708026497919796,42.16329445665547,23.85005142504139,-60.69489180469659,17.287824482735587,6.400773949380449,4.824550650880615,11.962203632360428,-1.0578221002825497e-17,-2.6321511632066503e-16,2.520451717367888e-35,7.729176077540497
