T [K],(k/t)_xx [W/m.K.ps],(k/t)_yy [W/m.K.ps],(k/t)_zz [W/m.K.ps],(k/t)_yz [W/m.K.ps],(k/t)_xz [W/m.K.ps],(k/t)_xy [W/m.K.ps],(k/t)_iso [W/m.K.ps],(t^CRTA)_xx [ps],(t^CRTA)_yy [ps],(t^CRTA)_zz [ps],(t^CRTA)_yz [ps],(t^CRTA)_xz [ps],(t^CRTA)_xy [ps],(t^CRTA)_iso [ps],k_xx [W/m.K],k_yy [W/m.K],k_zz [W/m.K],k_yz [W/m.K],k_xz [W/m.K],k_xy [W/m.K],k_iso [W/m.K]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.01603408388196778,0.01219336843279122,0.019488904156246413,-3.796856890232991e-20,0.0,0.0,0.015905452157001804,7327.426918786651,6870.187202888627,7204.066768801918,6189.413455359647,0.0,0.0,7160.2002684733425,117.48857785481388,83.7707237670684,140.3993667923804,-2.3500317124483064e-16,0.0,0.0,113.88622280475424
20.0,0.06384527989026939,0.03929876002277848,0.08597495443946344,-1.4335488363021286e-19,0.0,0.0,0.06303966478417045,528.7702321494259,506.32153143817476,553.422525504464,531.6622419129452,0.0,0.0,535.3125347890372,33.75948346922282,19.89780835835452,47.580476416019096,-7.621637882000833e-17,0.0,0.0,33.74592274786548
30.0,0.11932557457942852,0.06477952213762701,0.15749877401726922,-2.0976396137125572e-19,0.0,0.0,0.11386795691144158,152.87978220289352,161.51856707039886,169.23087887584245,179.8647467792478,0.0,0.0,162.0567684842702,18.24246785293816,10.463095591174698,26.653655948810172,-3.772914179545283e-17,0.0,0.0,18.453073130974342
40.0,0.17445740357271547,0.08874184865999975,0.2224955000192702,-2.5013428607866704e-19,0.0,0.0,0.16189825075066183,70.91988254443892,78.86636968715318,80.7796891560269,96.24507546881601,0.0,0.0,76.88854608896892,12.37249857038476,6.99874744314094,17.973117330171426,-2.4074193240979722e-17,0.0,0.0,12.448121114565708
50.0,0.22271395849893097,0.11061190134885218,0.2771007873218652,-2.75817671915961e-19,0.0,0.0,0.20347554905654947,42.54110168079665,48.142826748166684,48.9891515256174,63.38205866440894,0.0,0.0,46.483225047106735,9.474497154235749,5.325169602923096,13.574932457978738,-1.7481891862058137e-17,0.0,0.0,9.458199738379195
60.0,0.26178957480431614,0.12929304106687856,0.3206102271702595,-2.928123843914529e-19,0.0,0.0,0.23723094768048475,29.700539152927494,33.75869658780427,34.27634281939125,46.78906211266934,0.0,0.0,32.49913546923023,7.775291516303832,4.364764544291272,10.989346057890723,-1.37004168406505e-17,0.0,0.0,7.709800706161943
70.0,0.2923571838099254,0.14455849571658375,0.35443764919638243,-3.044511589499294e-19,0.0,0.0,0.26378444290763053,22.737688011752265,25.853261490567316,26.205682526591357,37.033466060365065,0.0,0.0,24.86009070811552,6.647526433464595,3.737308590443895,9.288280510311756,-1.1274881662011021e-17,0.0,0.0,6.557705178073415
80.0,0.3160359688325817,0.15677803147068523,0.3805842664897451,-3.1267544206571876e-19,0.0,0.0,0.284466088931004,18.453788972665787,20.968231328789702,21.216938744254623,30.680044347096633,0.0,0.0,20.147981131380046,5.832061076608445,3.2873580311496,8.074833069139999,-9.592896428824295e-18,0.0,0.0,5.731417392299348
90.0,0.33442711445118717,0.16650343173762983,0.4008803083275438,-3.1865461780747046e-19,0.0,0.0,0.3006036181721203,15.57055652973663,17.677998422191756,17.85650297811448,26.23054030122775,0.0,0.0,16.97582595844298,5.207216290638912,2.9434474035473324,7.158320419518238,-8.35848279457118e-18,0.0,0.0,5.102994704568161
